keys,Context,values
tradereceivablescurrent,OneI,10460000000
cashandcashequivalents,OneI,31300000000
bankbalanceotherthancashandcashequivalents,OneI,18870000000
loanscurrent,OneI,0
othercurrentfinancialassets,OneI,14100000000
currentfinancialassets,OneI,87210000000
currenttaxassets,OneI,0
othercurrentassets,OneI,5330000000
currentassets,OneI,118900000000
noncurrentassetsclassifiedasheldforsale,OneI,180000000
regulatorydeferralaccountdebitbalancesandrelateddeferredtaxassets,OneI,0
assets,OneI,196020000000
equitysharecapital,OneI,2160000000
otherequity,OneI,78150000000
equityattributabletoownersofparent,OneI,80310000000
equity,OneI,80310000000
borrowingsnoncurrent,OneI,0
tradepayablesnoncurrent,OneI,0
othernoncurrentfinancialliabilities,OneI,8530000000
noncurrentfinancialliabilities,OneI,8530000000
provisionsnoncurrent,OneI,11980000000
deferredtaxliabilitiesnet,OneI,0
deferredgovernmentgrantsnoncurrent,OneI,0
othernoncurrentliabilities,OneI,4160000000
noncurrentliabilities,OneI,24670000000
borrowingscurrent,OneI,0
tradepayablescurrent,OneI,73990000000
othercurrentfinancialliabilities,OneI,8690000000
currentfinancialliabilities,OneI,82680000000
othercurrentliabilities,OneI,4180000000
provisionscurrent,OneI,4180000000
currenttaxliabilities,OneI,0
deferredgovernmentgrantscurrent,OneI,0
currentliabilities,OneI,91040000000
liabilitiesdirectlyassociatedwithassetsindisposalgroupclassifiedasheldforsale,OneI,0
regulatorydeferralaccountcreditbalancesandrelateddeferredtaxliability,OneI,0
liabilities,OneI,115710000000
equityandliabilities,OneI,196020000000
descriptionofreportablesegment,OneReportable1D,Home Care
segmentrevenue,OneReportable1D,33500000000
descriptionofreportablesegment,OneReportable2D,Beauty &amp; Personal Care
segmentrevenue,OneReportable2D,38010000000
descriptionofreportablesegment,OneReportable3D,Foods &amp; Refreshment
segmentrevenue,OneReportable3D,17880000000
descriptionofreportablesegment,OneReportable4D,"Others (includes Exports, Infant &amp; Feminine Care etc.)"
segmentrevenue,OneReportable4D,720000000
descriptionofreportablesegment,FourReportable1D,Home Care
segmentrevenue,FourReportable1D,136420000000
descriptionofreportablesegment,FourReportable2D,Beauty &amp; Personal Care
segmentrevenue,FourReportable2D,173450000000
descriptionofreportablesegment,FourReportable3D,Foods &amp; Refreshment
segmentrevenue,FourReportable3D,74500000000
descriptionofreportablesegment,FourReportable4D,"Others (includes Exports, Infant &amp; Feminine Care etc.)"
segmentrevenue,FourReportable4D,3480000000
segmentrevenue,OneD,90110000000
segmentrevenue,FourD,387850000000
segmentrevenuefromoperations,OneD,90110000000
segmentrevenuefromoperations,FourD,387850000000
descriptionofreportablesegment,OneReportableFinance1D,Home Care
segmentprofitlossbeforetaxandfinancecosts,OneReportableFinance1D,6360000000
descriptionofreportablesegment,OneReportableFinance2D,Beauty &amp; Personal Care
segmentprofitlossbeforetaxandfinancecosts,OneReportableFinance2D,9450000000
descriptionofreportablesegment,OneReportableFinance3D,Foods &amp; Refreshment
segmentprofitlossbeforetaxandfinancecosts,OneReportableFinance3D,2250000000
descriptionofreportablesegment,OneReportableFinance4D,"Others (includes Exports, Infant &amp; Feminine Care etc.)"
segmentprofitlossbeforetaxandfinancecosts,OneReportableFinance4D,40000000
descriptionofreportablesegment,FourReportableFinance1D,Home Care
segmentprofitlossbeforetaxandfinancecosts,FourReportableFinance1D,25590000000
descriptionofreportablesegment,FourReportableFinance2D,Beauty &amp; Personal Care
segmentprofitlossbeforetaxandfinancecosts,FourReportableFinance2D,48700000000
descriptionofreportablesegment,FourReportableFinance3D,Foods &amp; Refreshment
segmentprofitlossbeforetaxandfinancecosts,FourReportableFinance3D,12320000000
descriptionofreportablesegment,FourReportableFinance4D,"Others (includes Exports, Infant &amp; Feminine Care etc.)"
segmentprofitlossbeforetaxandfinancecosts,FourReportableFinance4D,60000000
segmentprofitlossbeforetaxandfinancecosts,OneD,18100000000
segmentprofitlossbeforetaxandfinancecosts,FourD,86670000000
segmentfinancecosts,OneD,260000000
segmentfinancecosts,FourD,1060000000
otherunallocableexpenditurenetoffunallocableincome,OneD,-2080000000
otherunallocableexpenditurenetoffunallocableincome,FourD,-5310000000
segmentprofitbeforetax,OneD,19920000000
segmentprofitbeforetax,FourD,90920000000
descriptionofreportablesegment,OneReportable31D,Home Care
segmentassets,OneReportable31I,29660000000
descriptionofreportablesegment,OneReportable32D,Beauty &amp; Personal Care
segmentassets,OneReportable32I,52590000000
descriptionofreportablesegment,OneReportable33D,Foods &amp; Refreshment
segmentassets,OneReportable33I,25540000000
descriptionofreportablesegment,OneReportable34D,"Others (includes Exports, Infant &amp; Feminine Care etc.)"
segmentassets,OneReportable34I,960000000
segmentassets,OneI,108750000000
unallocableassets,OneI,87270000000
netsegmentassets,OneI,196020000000
descriptionofreportablesegment,OneReportable41D,Home Care
segmentliabilities,OneReportable41I,33420000000
descriptionofreportablesegment,OneReportable42D,Beauty &amp; Personal Care
segmentliabilities,OneReportable42I,54910000000
descriptionofreportablesegment,OneReportable43D,Foods &amp; Refreshment
segmentliabilities,OneReportable43I,15990000000
descriptionofreportablesegment,OneReportable44D,"Others (includes Exports, Infant &amp; Feminine Care etc.)"
segmentliabilities,OneReportable44I,430000000
segmentliabilities,OneI,104750000000
unallocableliabilities,OneI,10960000000
netsegmentliabilities,OneI,115710000000
descriptionofitemthatwillnotbereclassifiedtoprofitandloss,D_ItemsThatWillNotBeReclassifiedToProfitAndLoss11,Remeasurements of the net defined benefit plans
amountofitemthatwillnotbereclassifiedtoprofitandloss,D_ItemsThatWillNotBeReclassifiedToProfitAndLoss11,-680000000
amountofitemthatwillnotbereclassifiedtoprofitandloss,OneD,-680000000
descriptionofitemthatwillnotbereclassifiedtoprofitandloss,D_ItemsThatWillNotBeReclassifiedToProfitAndLoss41,Remeasurements of the net defined benefit plans
amountofitemthatwillnotbereclassifiedtoprofitandloss,D_ItemsThatWillNotBeReclassifiedToProfitAndLoss41,-680000000
amountofitemthatwillnotbereclassifiedtoprofitandloss,FourD,-680000000
incometaxrelatingtoitmesthatwillnotbereclassifiedtoprofitorloss,OneD,-170000000
incometaxrelatingtoitmesthatwillnotbereclassifiedtoprofitorloss,FourD,-170000000
descriptionofitemthatwillbereclassifiedtoprofitandloss,D_ItemsThatWillBeReclassifiedToProfitAndLoss11,Fair value of debt instruments through other comprehensive income
amountofitemthatwillbereclassifiedtoprofitandloss,D_ItemsThatWillBeReclassifiedToProfitAndLoss11,0
descriptionofitemthatwillbereclassifiedtoprofitandloss,D_ItemsThatWillBeReclassifiedToProfitAndLoss12,Fair value of Cash flow hedges through other comprehensive income
amountofitemthatwillbereclassifiedtoprofitandloss,D_ItemsThatWillBeReclassifiedToProfitAndLoss12,-810000000
amountofitemthatwillbereclassifiedtoprofitandloss,OneD,-810000000
descriptionofitemthatwillbereclassifiedtoprofitandloss,D_ItemsThatWillBeReclassifiedToProfitAndLoss41,Fair value of debt instruments through other comprehensive income
amountofitemthatwillbereclassifiedtoprofitandloss,D_ItemsThatWillBeReclassifiedToProfitAndLoss41,-10000000
descriptionofitemthatwillbereclassifiedtoprofitandloss,D_ItemsThatWillBeReclassifiedToProfitAndLoss42,Fair value of Cash flow hedges through other comprehensive income
amountofitemthatwillbereclassifiedtoprofitandloss,D_ItemsThatWillBeReclassifiedToProfitAndLoss42,-770000000
amountofitemthatwillbereclassifiedtoprofitandloss,FourD,-780000000
incometaxrelatingtoitmesthatwillbereclassifiedtoprofitorloss,OneD,-410000000
incometaxrelatingtoitmesthatwillbereclassifiedtoprofitorloss,FourD,-400000000
