keys,Context,values
comprehensiveincomefortheperiodattributabletoownersofparent,OneD,0
comprehensiveincomefortheperiodattributabletoownersofparentnoncontrollinginterests,OneD,0
paidupvalueofequitysharecapital,OneD,4829000000
facevalueofequitysharecapital,OneD,5
reserveexcludingrevaluationreserves,OneD,217905000000
basicearningslosspersharefromcontinuingoperations,OneD,14.398
dilutedearningslosspersharefromcontinuingoperations,OneD,14.297
basicearningslosspersharefromdiscontinuedoperations,OneD,0
dilutedearningslosspersharefromdiscontinuedoperations,OneD,0
basicearningslosspersharefromcontinuinganddiscontinuedoperations,OneD,14.398
dilutedearningslosspersharefromcontinuinganddiscontinuedoperations,OneD,14.297
dateofstartofreportingperiod,FourD,2019-04-01
dateofendofreportingperiod,FourD,2020-03-31
whetherresultsareauditedorunaudited,FourD,Audited
natureofreportstandaloneconsolidated,FourD,Standalone
revenuefromoperations,FourD,292254000000
otherincome,FourD,23662000000
income,FourD,315916000000
costofmaterialsconsumed,FourD,0
purchasesofstockintrade,FourD,0
changesininventoriesoffinishedgoodsworkinprogressandstockintrade,FourD,0
employeebenefitexpense,FourD,92827000000
financecosts,FourD,667000000
depreciationdepletionandamortisationexpense,FourD,6674000000
otherexpenses,FourD,162426000000
expenses,FourD,262594000000
profitbeforeexceptionalitemsandtax,FourD,53322000000
exceptionalitemsbeforetax,FourD,0
profitbeforetax,FourD,53322000000
currenttax,FourD,8813000000
deferredtax,FourD,-836000000
taxexpense,FourD,7977000000
netmovementinregulatorydeferralaccountbalancesrelatedtoprofitorlossandtherelateddeferredt,FourD,0
profitlossforperiodfromcontinuingoperations,FourD,45345000000
profitlossfromdiscontinuedoperationsbeforetax,FourD,0
taxexpenseofdiscontinuedoperations,FourD,0
profitlossfromdiscontinuedoperationsaftertax,FourD,0
shareofprofitlossofassociatesandjointventuresaccountedforusingequitymethod,FourD,0
profitlossforperiod,FourD,45345000000
othercomprehensiveincomenetoftaxes,FourD,-3234000000
comprehensiveincomefortheperiod,FourD,42111000000
comprehensiveincomefortheperiodattributabletoownersofparent,FourD,0
comprehensiveincomefortheperiodattributabletoownersofparentnoncontrollinginterests,FourD,0
paidupvalueofequitysharecapital,FourD,4829000000
facevalueofequitysharecapital,FourD,5
reserveexcludingrevaluationreserves,FourD,217905000000
basicearningslosspersharefromcontinuingoperations,FourD,46.894
dilutedearningslosspersharefromcontinuingoperations,FourD,46.565
basicearningslosspersharefromdiscontinuedoperations,FourD,0
dilutedearningslosspersharefromdiscontinuedoperations,FourD,0
basicearningslosspersharefromcontinuinganddiscontinuedoperations,FourD,46.894
dilutedearningslosspersharefromcontinuinganddiscontinuedoperations,FourD,46.565
descriptionofotherexpenses,OneExpenses1D,Subcontracting Expenses
otherexpenses,OneExpenses1D,30399000000
descriptionofotherexpenses,OneExpenses2D,Other Expenses
otherexpenses,OneExpenses2D,11843000000
descriptionofotherexpenses,OneExpenses3D,Impairment of non-current investment
otherexpenses,OneExpenses3D,5554000000
descriptionofotherexpenses,FourExpenses1D,Subcontracting Expenses
otherexpenses,FourExpenses1D,116074000000
descriptionofotherexpenses,FourExpenses2D,Other Expenses
otherexpenses,FourExpenses2D,40798000000
descriptionofotherexpenses,FourExpenses3D,Impairment of non-current investment
otherexpenses,FourExpenses3D,5554000000
propertyplantandequipment,OneI,20069000000
capitalworkinprogress,OneI,352000000
investmentproperty,OneI,997000000
goodwill,OneI,0
otherintangibleassets,OneI,6908000000
noncurrentinvestments,OneI,58883000000
tradereceivablesnoncurrent,OneI,0
loansnoncurrent,OneI,0
othernoncurrentfinancialassets,OneI,4249000000
noncurrentfinancialassets,OneI,63132000000
deferredtaxassetsnet,OneI,4364000000
othernoncurrentassets,OneI,26967000000
noncurrentassets,OneI,122789000000
inventories,OneI,0
currentinvestments,OneI,47603000000
tradereceivablescurrent,OneI,62120000000
cashandcashequivalents,OneI,18038000000
bankbalanceotherthancashandcashequivalents,OneI,542000000
loanscurrent,OneI,76000000
othercurrentfinancialassets,OneI,32844000000
currentfinancialassets,OneI,161223000000
currenttaxassets,OneI,0
othercurrentassets,OneI,19208000000
currentassets,OneI,180431000000
noncurrentassetsclassifiedasheldforsale,OneI,0
regulatorydeferralaccountdebitbalancesandrelateddeferredtaxassets,OneI,0
assets,OneI,303220000000
equitysharecapital,OneI,4829000000
otherequity,OneI,217905000000
equityattributabletoownersofparent,OneI,222734000000
equity,OneI,222734000000
borrowingsnoncurrent,OneI,0
tradepayablesnoncurrent,OneI,0
othernoncurrentfinancialliabilities,OneI,6450000000
noncurrentfinancialliabilities,OneI,6450000000
provisionsnoncurrent,OneI,4594000000
deferredtaxliabilitiesnet,OneI,0
deferredgovernmentgrantsnoncurrent,OneI,0
othernoncurrentliabilities,OneI,12304000000
noncurrentliabilities,OneI,23348000000
borrowingscurrent,OneI,0
tradepayablescurrent,OneI,25256000000
othercurrentfinancialliabilities,OneI,9615000000
currentfinancialliabilities,OneI,34871000000
othercurrentliabilities,OneI,12531000000
provisionscurrent,OneI,1859000000
currenttaxliabilities,OneI,7877000000
deferredgovernmentgrantscurrent,OneI,0
currentliabilities,OneI,57138000000
liabilities,OneI,80486000000
equityandliabilities,OneI,303220000000
descriptionofreportablesegment,OneReportable1D,-
segmentrevenue,OneReportable1D,0
descriptionofreportablesegment,OneReportable2D,-
segmentrevenue,OneReportable2D,0
descriptionofreportablesegment,FourReportable1D,-
segmentrevenue,FourReportable1D,0
descriptionofreportablesegment,FourReportable2D,-
segmentrevenue,FourReportable2D,0
segmentrevenue,OneD,0
segmentrevenue,FourD,0
segmentrevenuefromoperations,OneD,0
segmentrevenuefromoperations,FourD,0
descriptionofreportablesegment,OneReportableFinance1D,-
segmentprofitlossbeforetaxandfinancecosts,OneReportableFinance1D,0
descriptionofreportablesegment,OneReportableFinance2D,-
segmentprofitlossbeforetaxandfinancecosts,OneReportableFinance2D,0
descriptionofreportablesegment,FourReportableFinance1D,-
segmentprofitlossbeforetaxandfinancecosts,FourReportableFinance1D,0
descriptionofreportablesegment,FourReportableFinance2D,-
segmentprofitlossbeforetaxandfinancecosts,FourReportableFinance2D,0
segmentprofitlossbeforetaxandfinancecosts,OneD,0
segmentprofitlossbeforetaxandfinancecosts,FourD,0
segmentprofitbeforetax,OneD,0
segmentprofitbeforetax,FourD,0
descriptionofreportablesegment,OneReportable31D,-
segmentassets,OneReportable31I,0
descriptionofreportablesegment,OneReportable32D,-
segmentassets,OneReportable32I,0
segmentassets,OneI,0
netsegmentassets,OneI,0
descriptionofreportablesegment,OneReportable41D,-
segmentliabilities,OneReportable41I,0
descriptionofreportablesegment,OneReportable42D,-
segmentliabilities,OneReportable42I,0
segmentliabilities,OneI,0
netsegmentliabilities,OneI,0
descriptionofitemthatwillnotbereclassifiedtoprofitandloss,D_ItemsThatWillNotBeReclassifiedToProfitAndLoss11,Remeasurements of the Defined Benefit Liabilities - gain / (loss)
amountofitemthatwillnotbereclassifiedtoprofitandloss,D_ItemsThatWillNotBeReclassifiedToProfitAndLoss11,-48580000
descriptionofitemthatwillnotbereclassifiedtoprofitandloss,D_ItemsThatWillNotBeReclassifiedToProfitAndLoss12,Equity Instruments through Other Comprehensive Income  - gain / (loss)
amountofitemthatwillnotbereclassifiedtoprofitandloss,D_ItemsThatWillNotBeReclassifiedToProfitAndLoss12,515000
amountofitemthatwillnotbereclassifiedtoprofitandloss,OneD,-48065000
descriptionofitemthatwillnotbereclassifiedtoprofitandloss,D_ItemsThatWillNotBeReclassifiedToProfitAndLoss41,Remeasurements of the Defined Benefit Liabilities - gain / (loss)
amountofitemthatwillnotbereclassifiedtoprofitandloss,D_ItemsThatWillNotBeReclassifiedToProfitAndLoss41,-130000000
descriptionofitemthatwillnotbereclassifiedtoprofitandloss,D_ItemsThatWillNotBeReclassifiedToProfitAndLoss42,Equity Instruments through Other Comprehensive Income  - gain / (loss)
amountofitemthatwillnotbereclassifiedtoprofitandloss,D_ItemsThatWillNotBeReclassifiedToProfitAndLoss42,-9000000
amountofitemthatwillnotbereclassifiedtoprofitandloss,FourD,-139000000
incometaxrelatingtoitmesthatwillnotbereclassifiedtoprofitorloss,OneD,-14550000
incometaxrelatingtoitmesthatwillnotbereclassifiedtoprofitorloss,FourD,-41000000
descriptionofitemthatwillbereclassifiedtoprofitandloss,D_ItemsThatWillBeReclassifiedToProfitAndLoss11,Effective portion of gain / (loss) on Designated Portion of Hedging          Instruments in a Cash Flow Hedge (net)
amountofitemthatwillbereclassifiedtoprofitandloss,D_ItemsThatWillBeReclassifiedToProfitAndLoss11,-2366124000
amountofitemthatwillbereclassifiedtoprofitandloss,OneD,-2366124000
descriptionofitemthatwillbereclassifiedtoprofitandloss,D_ItemsThatWillBeReclassifiedToProfitAndLoss41,Effective portion of gain / (loss) on Designated Portion of Hedging          Instruments in a Cash Flow Hedge (net)
amountofitemthatwillbereclassifiedtoprofitandloss,D_ItemsThatWillBeReclassifiedToProfitAndLoss41,-4383000000
amountofitemthatwillbereclassifiedtoprofitandloss,FourD,-4383000000
incometaxrelatingtoitmesthatwillbereclassifiedtoprofitorloss,OneD,-693847000
incometaxrelatingtoitmesthatwillbereclassifiedtoprofitorloss,FourD,-1247000000
